gene,base_mean,log2fc,pvalue
G6022,0.73,-0.608,0.771
G6023,62.56,-0.748,0.0765
G6024,8.29,0.099,0.898
G6025,462.8,0.154,0.601
G6026,1.98,-1.105,0.415
G6027,96.22,0.117,0.76
G6028,708.4,0.212,0.449
G6029,23.28,-0.553,0.316
G6030,8.3,-0.245,0.752
G6031,3.46,0.53,0.624
G6032,73.55,-0.283,0.486
G6033,120.14,0.029,0.937
G6034,4.77,0.559,0.557
G6035,17.55,-0.1,0.868
G6036,0.92,1.962,0.299
G6037,6.98,-0.196,0.812
G6038,28.08,-0.256,0.624
G6039,90.78,0.292,0.452
G6040,0.93,-1.322,0.482
G6041,29.44,-0.314,0.542
G6042,84.6,0.628,0.111
G6043,84.84,0.428,0.277
G6044,4.21,0.286,0.775
G6045,2.76,-0.233,0.844
G6046,29.56,0.01,0.984
G6047,101.32,-0.004,0.992
G6048,17.42,-0.382,0.527
G6049,2166.73,0.062,0.807
G6050,92.61,0.394,0.308
G6051,1748.39,-0.322,0.212
G6052,246.51,0.002,0.995
G6053,32.52,-0.244,0.626
G6054,107.16,-0.289,0.44
G6055,40.08,-0.519,0.272
G6056,39.54,-0.597,0.208
G6057,42.37,-0.391,0.401
G6058,216.41,-0.124,0.706
G6059,89.83,-0.27,0.487
G6060,536.62,0.158,0.585
G6061,4.32,-0.175,0.86
G6062,532.24,0.214,0.46
G6063,43.6,-0.412,0.373
G6064,6.4,1.559,0.0674
G6065,722.81,0.359,0.199
G6066,18.55,0.305,0.606
G6067,125.21,0.235,0.517
G6068,28.08,0.295,0.572
G6069,41.82,-0.621,0.184
G6070,19.14,0.139,0.812
G6071,62.23,-0.348,0.41
G6072,83.53,0.037,0.925
G6073,166.2,0.693,0.044
G6074,4.06,2.591,0.0106
G6075,71.94,0.718,0.0789
G6076,1.77,0.273,0.848
G6077,19.35,0.211,0.718
G6078,280.96,-0.253,0.423
G6079,181.05,0.051,0.88
G6080,69.21,-0.083,0.84
G6081,11.14,0.187,0.789
G6082,29.18,-0.235,0.649
G6083,35.25,0.92,0.0602
G6084,129.1,0.26,0.471
G6085,8.35,-0.76,0.326
G6086,16.01,-0.147,0.813
G6087,635.38,-0.431,0.128
G6088,8.25,0.065,0.933
G6089,1817.72,0.109,0.672
G6090,166.4,-0.241,0.484
G6091,45.04,-0.132,0.773
G6092,140.3,-0.055,0.877
G6093,36.51,0.22,0.65
G6094,19.1,0.285,0.627
G6095,680.83,0.815,0.00377
G6096,168.88,0.275,0.423
G6097,6.98,-0.506,0.54
G6098,18.41,0.491,0.408
G6099,429.57,0.446,0.133
G6100,11.17,0.333,0.634
G6101,133.24,0.675,0.0598
G6102,458.49,0.452,0.125
G6103,72.6,-0.315,0.44
G6104,69.15,2.828,7.02e-12
G6105,3.92,-0.496,0.629
G6106,388.41,0.021,0.944
G6107,257.59,0.05,0.876
G6108,54,-0.371,0.397
G6109,33.12,-0.132,0.791
G6110,58.35,0.744,0.0832
G6111,27.38,0.481,0.36
G6112,154.66,0.044,0.9
G6113,2574.35,0.064,0.799
G6114,247.15,0.08,0.804
G6115,40.47,0.204,0.665
G6116,14.17,0.503,0.436
G6117,32.84,0.175,0.726
G6118,162.65,0.114,0.741
G6119,17.31,-0.275,0.649
G6120,12.59,0.062,0.926
G6121,24.53,0.308,0.571
G6122,1.64,-0.604,0.681
G6123,54.72,-0.352,0.42
G6124,173.45,-0.037,0.914
G6125,6.46,1.141,0.179
G6126,0.77,-2.093,0.306
G6127,4.86,1.563,0.0984
G6128,4.47,-0.381,0.696
G6129,375.57,-0.106,0.726
G6130,14.61,-0.072,0.91
G6131,67.15,0.462,0.266
G6132,72.62,-0.089,0.827
G6133,16.71,-0.431,0.481
G6134,162.71,0.031,0.928
G6135,7.04,0.448,0.586
G6136,7.4,-0.996,0.218
G6137,2.04,0.182,0.892
G6138,205.22,-0.265,0.424
G6139,26.28,0.116,0.827
G6140,7.97,-0.838,0.287
G6141,101.11,0.13,0.732
G6142,41.04,0.725,0.123
G6143,7.5,0.126,0.876
G6144,6.68,-0.75,0.371
G6145,93.63,0.08,0.836
G6146,34.2,-0.268,0.587
G6147,2.71,-0.075,0.95
G6148,33.41,-2.542,3.11e-07
G6149,155.65,-0.012,0.973
G6150,28.25,-0.436,0.403
G6151,63.94,0.033,0.937
G6152,42.52,0.585,0.209
G6153,4.21,0.117,0.907
G6154,105.66,-0.091,0.809
G6155,19.01,0.266,0.65
G6156,58.58,-0.68,0.113
G6157,1.5,0.334,0.827
G6158,493.35,-0.331,0.257
G6159,50.6,-0.032,0.943
G6160,18.06,0.107,0.858
G6161,65.93,0.34,0.415
G6162,561.63,-0.294,0.307
G6163,2.66,-1.354,0.26
G6164,9.16,-0.257,0.731
G6165,563.29,-0.177,0.538
G6166,239.45,-0.21,0.516
G6167,40.69,-0.018,0.97
G6168,127.26,0.1,0.782
G6169,180.69,-0.154,0.65
G6170,66.23,-0.001,0.998
G6171,5.64,-0.102,0.909
G6172,7.95,0.14,0.859
G6173,7.21,-0.761,0.351
G6174,23.83,0.182,0.74
G6175,1000.46,-0.274,0.311
G6176,9.19,0.058,0.938
G6177,6.06,1.819,0.0365
G6178,513.03,-0.115,0.692
G6179,329.06,-0.561,0.0687
G6180,251.43,0.412,0.199
G6181,54.65,0.071,0.871
G6182,3.37,1.329,0.223
G6183,39.58,-0.666,0.16
G6184,759.8,0.076,0.785
G6185,30.82,-0.103,0.839
G6186,57.97,0.312,0.468
G6187,0.92,-0.127,0.946
G6188,182.08,-0.033,0.922
G6189,2070.26,-0.231,0.365
G6190,188.11,0.49,0.146
G6191,155.88,0.159,0.648
G6192,38.57,-0.711,0.137
G6193,389.05,0.141,0.64
G6194,2286.51,-0.47,0.0637
G6195,10.69,0.868,0.221
G6196,6.6,0.002,0.998
G6197,517.27,0.095,0.744
G6198,77.78,0.21,0.601
G6199,148.32,-0.596,0.0899
G6200,27.7,-0.107,0.838
G6201,44.52,0.255,0.579
G6202,82.08,0.439,0.268
G6203,634.42,0.348,0.22
G6204,2215.94,0.071,0.78
G6205,40.78,-0.242,0.607
G6206,123.05,-0.113,0.756
G6207,17.1,-0.03,0.961
G6208,18.16,0.018,0.976
G6209,471.92,0.093,0.751
G6210,32.13,-0.246,0.624
G6211,2.3,-1.813,0.155
G6212,585.1,0.082,0.774
G6213,16.06,0.688,0.267
G6214,8296.71,-0.415,0.0807
G6215,66,0.049,0.906
G6216,118.34,-0.267,0.467
G6217,424.63,-0.462,0.121
G6218,527.62,-0.283,0.329
G6219,184.89,-0.179,0.596
G6220,25.65,0.002,0.997
G6221,318.88,-0.121,0.696
G6222,67.18,0.573,0.168
G6223,148.21,-0.285,0.417
G6224,56.94,-0.182,0.674
G6225,27.19,0.198,0.707
G6226,252.43,-0.108,0.736
G6227,12.83,0.788,0.237
G6228,693.95,0.187,0.505
G6229,604.86,0.352,0.217
G6230,36.55,0.494,0.308
G6231,91.96,-0.321,0.407
G6232,10.32,1.81,0.0117
G6233,329.91,-0.041,0.894
G6234,55.76,0.272,0.531
G6235,471.83,-0.367,0.211
G6236,219.94,0.491,0.134
G6237,33.4,-0.251,0.613
G6238,0.6,2.031,0.374
G6239,1992.43,-0.08,0.755
G6240,56.24,0.638,0.141
G6241,4.85,0.882,0.351
G6242,63.54,0.007,0.987
G6243,33.92,-0.415,0.402
G6244,183.02,0.09,0.79
G6245,17.86,0.368,0.539
G6246,26.38,-0.089,0.867
G6247,25.8,0.422,0.43
G6248,26.95,1.054,0.046
G6249,839.57,-0.564,0.0404
G6250,312.3,-0.26,0.402
G6251,131.37,-0.415,0.248
G6252,196.99,-0.17,0.611
G6253,85.68,-0.106,0.787
G6254,37.73,-0.112,0.816
G6255,158.78,0.533,0.125
G6256,156.06,-0.241,0.489
G6257,109.81,0.492,0.187
G6258,84.73,0.274,0.487
G6259,134.75,0.447,0.212
G6260,6.41,0.845,0.321
G6261,11.94,0,1
G6262,0.96,0.355,0.848
G6263,63.05,-0.52,0.217
G6264,4.62,-1.204,0.212
G6265,3.35,1.433,0.19
G6266,807.81,-0.354,0.2
G6267,10.09,-1.43,0.0482
G6268,31.82,0.108,0.83
G6269,95.51,1.932,4.78e-07
G6270,170.89,0.312,0.362
G6271,81.3,0.105,0.792
G6272,104.83,-0.375,0.319
G6273,168.92,-0.457,0.183
G6274,37.17,0.537,0.266
G6275,157.02,-0.367,0.291
G6276,97.88,0.235,0.538
G6277,241.7,1.479,4.65e-06
G6278,93.98,-0.757,0.0493
G6279,72.49,-0.902,0.027
G6280,130.09,-0.797,0.027
G6281,590.1,0.129,0.652
G6282,6.88,0.615,0.459
G6283,224.05,0.169,0.605
G6284,229.46,-1.701,1.75e-07
G6285,5.56,0.055,0.951
G6286,57.5,-0.014,0.974
G6287,26.29,-0.652,0.22
G6288,9.5,-0.326,0.659
G6289,444.51,0.13,0.66
G6290,108.36,0.669,0.0734
G6291,53.03,0.791,0.072
G6292,148.75,0.066,0.851
G6293,201.14,-0.13,0.696
G6294,51.29,0.254,0.567
G6295,9.74,1.109,0.13
G6296,195.24,0.535,0.11
G6297,2.71,-1.067,0.371
G6298,17.19,0.976,0.107
G6299,36.16,0.05,0.918
G6300,28.23,-0.074,0.887
G6301,26.48,1.154,0.0297
G6302,7.32,-0.198,0.807
G6303,437.21,-0.429,0.148
G6304,12.19,-0.113,0.868
G6305,33.98,-0.888,0.0725
G6306,1.81,0.818,0.562
G6307,118.54,-0.163,0.657
G6308,101.71,0.396,0.296
G6309,211.98,0.45,0.173
G6310,212.57,0.324,0.326
G6311,3739.8,-0.081,0.742
G6312,111.95,0.045,0.904
G6313,64.85,0.001,0.998
G6314,19.58,-1.405,0.0157
G6315,60.05,0.117,0.784
G6316,8.29,1.612,0.0377
G6317,477.78,-0.279,0.341
G6318,36.13,-0.669,0.169
G6319,74.66,0.06,0.882
G6320,296.86,0.067,0.83
G6321,179.3,-0.162,0.633
G6322,2.61,0.743,0.539
G6323,104.31,-0.059,0.876
G6324,339.38,-0.456,0.137
G6325,14.19,-1.116,0.0835
G6326,11.18,-0.233,0.739
G6327,163.05,0.789,0.0223
G6328,558.78,-0.267,0.353
G6329,60.19,0.34,0.425
G6330,8.28,-0.466,0.548
G6331,158.54,0.472,0.174
G6332,25.62,-0.235,0.661
G6333,1252.93,0.143,0.59
G6334,263.32,-0.041,0.898
G6335,413.33,-0.58,0.0522
G6336,567.44,0.139,0.628
G6337,437.13,0.2,0.5
G6338,25.82,0.553,0.301
G6339,49.04,-0.776,0.0836
G6340,2214.51,-0.059,0.816
G6341,119.38,-0.066,0.857
G6342,29.89,-0.189,0.712
G6343,11.88,-0.633,0.355
G6344,22.44,-0.145,0.795
G6345,110.15,-0.068,0.855
G6346,73.85,0.108,0.79
G6347,275.07,-0.159,0.615
G6348,102.97,-0.175,0.643
G6349,213.48,-0.093,0.778
G6350,11.75,-0.029,0.966
G6351,7.04,0.019,0.982
G6352,29.12,-0.257,0.619
G6353,2.78,1.822,0.122
G6354,456.8,-0.083,0.778
G6355,537.46,-0.113,0.696
G6356,9.12,-0.85,0.257
G6357,1.75,-0.572,0.689
G6358,46.96,0.484,0.286
G6359,182.22,-0.5,0.14
G6360,136.72,-0.321,0.368
G6361,22.33,0.688,0.218
G6362,15.13,-0.192,0.761
G6363,1299.21,-0.121,0.647
G6364,113.85,0.068,0.854
G6365,5.06,-0.411,0.659
G6366,25.7,-1.2,0.0251
G6367,34.61,-0.889,0.0708
G6368,128.6,0.148,0.682
G6369,6.58,-0.286,0.735
G6370,0.54,0.794,0.74
G6371,568.52,-0.553,0.0541
G6372,169.53,0.654,0.0565
G6373,273.64,-0.336,0.289
G6374,275.28,-0.165,0.602
G6375,35.65,-0.326,0.504
G6376,1554.44,0.423,0.105
G6377,23.62,-0.415,0.45
G6378,130.06,-1.111,0.00205
G6379,138.27,-0.147,0.68
G6380,8.82,-0.3,0.693
G6381,199.88,-0.525,0.115
G6382,801.72,0.249,0.368
G6383,49.79,0.185,0.679
G6384,2.36,0.691,0.584
G6385,11.6,1.047,0.129
G6386,214.28,0.256,0.437
G6387,5.7,0.506,0.57
G6388,460.58,0.115,0.696
G6389,50.89,0.822,0.0643
G6390,155.71,0.089,0.798
G6391,36.59,0.19,0.695
G6392,1878.59,-0.214,0.405
G6393,205.98,0.018,0.957
G6394,13.88,0.14,0.829
G6395,481.25,-1.399,1.79e-06
G6396,59.81,0.773,0.0702
G6397,135.6,-0.215,0.547
G6398,44.39,-0.196,0.67
G6399,46.39,0.772,0.0897
G6400,2073.57,0.218,0.393
G6401,233.04,-0.502,0.122
G6402,165.57,-1.431,3.24e-05
G6403,71.52,0.42,0.305
G6404,73.87,0.342,0.4
G6405,48.79,-0.27,0.548
G6406,108.36,-0.692,0.0641
G6407,228.37,-0.095,0.771
G6408,47.58,-0.173,0.702
G6409,1181.32,-1.662,4.51e-10
G6410,49.2,-0.366,0.414
G6411,129.45,0.181,0.616
G6412,238.51,-0.051,0.875
G6413,32.47,-0.682,0.173
G6414,86.98,-0.013,0.974
G6415,48,1.135,0.0118
G6416,549.84,0.251,0.384
G6417,54.55,-0.877,0.0446
G6418,64.14,-0.044,0.917
G6419,23.68,0.986,0.0724
G6420,23.23,0.52,0.346
G6421,3.96,0.559,0.585
G6422,317.13,-0.129,0.677
G6423,21.36,0.629,0.267
G6424,130.1,0.467,0.195
G6425,35.47,0.458,0.349
G6426,901.39,0.249,0.362
G6427,20.9,-1.529,0.00731
G6428,170.47,0.225,0.511
G6429,255.58,0.089,0.781
G6430,16.59,-0.19,0.757
G6431,223.49,-0.427,0.192
G6432,5.41,0.348,0.701
G6433,13.58,-0.191,0.77
G6434,33.24,1.066,0.0321
G6435,531.02,0.258,0.373
G6436,39.67,3.197,1.54e-11
G6437,321.27,0.333,0.282
G6438,7.33,-0.848,0.296
G6439,147.3,0.521,0.139
G6440,160.57,0.304,0.38
G6441,65.68,-0.148,0.723
G6442,92.17,0.339,0.381
G6443,273.77,-0.072,0.82
G6444,42.55,-0.1,0.83
G6445,18.4,-0.145,0.807
G6446,9.12,-1.199,0.11
G6447,476.95,0.136,0.643
G6448,153.79,0.223,0.523
G6449,12.73,-0.152,0.82
G6450,58.62,-0.618,0.15
G6451,2.77,-0.093,0.937
G6452,63.62,-0.702,0.0951
G6453,411.13,2.161,1e-12
G6454,23.2,0.227,0.681
G6455,309.67,0.017,0.956
G6456,20.24,-0.157,0.785
G6457,160.94,-0.077,0.824
G6458,68.18,0.066,0.873
G6459,10.64,1.686,0.0176
G6460,23.07,0.067,0.904
G6461,26.31,-0.177,0.739
G6462,173.66,0.736,0.0311
G6463,25.16,0.291,0.589
G6464,340.24,-0.209,0.496
G6465,6.8,-0.142,0.865
G6466,20.19,-0.442,0.443
G6467,94.22,-0.068,0.86
G6468,382.59,0.117,0.698
G6469,3.16,-1.158,0.301
G6470,134.65,-0.121,0.735
G6471,129.09,0.489,0.175
G6472,80.04,0.275,0.491
G6473,19.51,0.327,0.574
G6474,390.08,0.098,0.745
G6475,13.59,-0.397,0.544
G6476,100.54,0.437,0.25
G6477,13.81,0.601,0.356
G6478,122.2,-0.287,0.431
G6479,3.22,-0.28,0.801
G6480,173.42,0.576,0.0917
G6481,94.85,-0.187,0.627
G6482,648.26,0.468,0.098
G6483,415.64,-0.037,0.901
G6484,4.65,0.979,0.309
G6485,21.41,-0.115,0.839
G6486,38.58,-0.152,0.75
G6487,6.43,0.491,0.564
G6488,6.32,-0.524,0.541
G6489,125.64,0.178,0.624
G6490,104.11,-0.284,0.451
G6491,94.34,0.221,0.566
G6492,23.96,0.185,0.735
G6493,115.97,-0.112,0.761
G6494,127.82,0.078,0.829
G6495,379.35,-0.21,0.487
G6496,7.77,1.479,0.0625
G6497,98.49,-0.022,0.954
G6498,25.67,0.546,0.308
G6499,69.5,0.056,0.892
G6500,356.9,1.487,1.06e-06
G6501,1.76,1.451,0.309
G6502,3.55,0.91,0.395
G6503,35.38,0.627,0.2
G6504,118.22,0.234,0.524
G6505,0.83,-1.303,0.51
G6506,18.71,0.859,0.145
G6507,32.91,0.233,0.64
G6508,5.08,0.377,0.685
G6509,90.7,0.811,0.0366
G6510,64.81,0.065,0.877
G6511,1262.43,0.032,0.904
G6512,54.22,0.086,0.844
G6513,65.68,-0.084,0.841
G6514,24.44,1.837,0.000727
G6515,29.24,-0.188,0.716
G6516,10.44,0.913,0.202
G6517,691.58,-0.043,0.878
G6518,48.12,-0.472,0.295
G6519,9.6,0.697,0.344
G6520,12.98,-1.528,0.0214
G6521,52.41,-1.489,0.000735
G6522,24.72,0.522,0.335
G6523,45.27,0.093,0.839
G6524,73.51,0.14,0.731
G6525,64.67,-0.93,0.0264
G6526,12.03,1.1,0.106
G6527,179.07,-0.061,0.857
G6528,172.25,-0.693,0.0427
G6529,61.28,0.638,0.133
G6530,24.67,0.205,0.705
G6531,18.28,-0.72,0.226
G6532,6.23,0.156,0.856
G6533,65.52,0.679,0.104
G6534,117.73,-0.427,0.245
G6535,61.21,0.401,0.345
G6536,1483.59,-0.178,0.496
G6537,133.36,-0.211,0.556
G6538,64.08,-0.334,0.426
G6539,15.7,0.593,0.342
G6540,9.29,-0.183,0.806
G6541,29.01,0.151,0.77
G6542,87.65,0.192,0.623
G6543,7.3,1.331,0.101
G6544,37.59,-0.896,0.0625
G6545,135.39,-0.05,0.889
G6546,36.49,0.064,0.895
G6547,99.09,-0.028,0.941
G6548,18.01,-1.741,0.00354
G6549,417.96,0.296,0.321
G6550,0.78,-0.408,0.841
G6551,97.88,-0.189,0.621
G6552,31.65,1.31,0.0094
G6553,1886.44,-0.117,0.649
G6554,178.9,0.498,0.143
G6555,23.3,0.455,0.409
G6556,1697.13,-0.404,0.119
G6557,21.92,-1.259,0.025
G6558,10.41,0.008,0.991
G6559,473.51,-0.433,0.14
G6560,11.15,-0.517,0.46
G6561,90.07,-0.608,0.118
G6562,904.33,-0.226,0.408
G6563,861.6,-0.21,0.444
G6564,30.22,0.312,0.542
G6565,78.6,-0.022,0.956
G6566,135.19,0.235,0.511
G6567,93.24,-0.577,0.135
G6568,81.43,0.471,0.236
G6569,1013.13,-0.448,0.0974
G6570,721.66,2.064,1e-12
G6571,99.73,-0.436,0.251
G6572,70.53,-0.935,0.0227
G6573,78.48,-0.285,0.477
G6574,5.58,-2.128,0.0177
G6575,232.82,0.358,0.27
G6576,2.81,-0.887,0.45
G6577,17.82,0.614,0.305
G6578,2.49,0.132,0.915
G6579,1.28,-0.73,0.655
G6580,21.3,-0.234,0.68
G6581,437.1,0.015,0.96
G6582,41.45,-0.698,0.136
G6583,8.08,0.485,0.536
G6584,20.9,-1.225,0.0316
G6585,79.51,-0.138,0.73
G6586,10.57,0.532,0.455
G6587,32.74,0.453,0.365
G6588,3.04,-1.399,0.219
G6589,444.88,1.005,0.000682
G6590,265.63,0.712,0.0252
G6591,17.93,-0.387,0.517
G6592,43.23,-1.131,0.0146
G6593,24.45,-0.596,0.273
G6594,8.22,0.608,0.435
G6595,361.18,-0.111,0.715
G6596,985.74,-0.087,0.748
G6597,262.67,-0.043,0.893
G6598,15.58,-0.389,0.534
G6599,47.16,-0.375,0.408
G6600,42.39,-0.438,0.347
G6601,172.32,-0.418,0.221
G6602,24.69,-0.382,0.481
G6603,17.1,-0.389,0.522
G6604,27.06,-0.563,0.286
G6605,1422.26,-0.107,0.683
G6606,142.96,-0.221,0.532
G6607,269.92,-0.247,0.436
G6608,2118.84,0.269,0.291
G6609,13.53,-1.359,0.038
G6610,9.45,0.174,0.814
G6611,1.76,1.648,0.248
G6612,47.76,-0.109,0.809
G6613,22.09,-0.889,0.113
G6614,84.25,-1.124,0.00436
G6615,1156.7,-0.326,0.222
G6616,7.92,0.945,0.231
G6617,59.97,-0.085,0.842
G6618,198.71,0.645,0.0531
G6619,10.1,-1.245,0.0853
G6620,42.1,-0.074,0.874
G6621,166.87,0.037,0.914
G6622,50.06,0.04,0.929
G6623,112.39,-0.477,0.198
G6624,83.25,-0.362,0.36
G6625,226.13,0.45,0.168
G6626,68.53,-0.104,0.801
G6627,1081.2,0.202,0.452
G6628,76.35,0.304,0.451
G6629,57.22,-0.138,0.749
G6630,1276.21,0.403,0.128
G6631,677.46,0.605,0.0316
G6632,7.15,-0.091,0.911
G6633,1.04,2.505,0.161
G6634,113.38,-0.13,0.726
G6635,90.14,0.297,0.445
G6636,58.47,0.517,0.228
G6637,5.74,3.059,0.00057
G6638,86.64,-0.286,0.466
G6639,482.62,-0.451,0.124
G6640,14.34,1.151,0.0732
G6641,3.32,-0.076,0.945
G6642,609.02,0.39,0.171
G6643,29.78,0.062,0.904
G6644,33.95,-0.338,0.494
G6645,23.97,0.286,0.601
G6646,14.5,0.876,0.171
G6647,22.86,-0.67,0.227
G6648,41.64,-0.364,0.437
G6649,206.12,0.064,0.847
G6650,325.78,0.136,0.659
G6651,15.61,-0.034,0.957
G6652,26.95,-0.379,0.473
G6653,185.31,0.388,0.25
G6654,496.69,0.72,0.0136
G6655,8.64,1.1,0.15
G6656,5.96,0.864,0.324
G6657,2877.31,0.281,0.261
G6658,3.28,1.526,0.167
G6659,765.42,-0.273,0.326
G6660,160.9,-0.962,0.00545
G6661,28.27,-0.099,0.849
G6662,24.23,-0.786,0.149
G6663,55.9,-0.663,0.127
G6664,201.03,0.284,0.394
G6665,94.41,0.579,0.132
G6666,10.94,-0.177,0.801
G6667,15.19,-0.131,0.835
G6668,287.05,0.435,0.167
G6669,23.75,0.682,0.214
G6670,565.24,0.11,0.702
G6671,6.59,0.394,0.64
G6672,222.28,-0.297,0.364
G6673,654.11,-0.251,0.374
G6674,282.54,-0.144,0.648
G6675,70.42,0.239,0.561
G6676,11.71,-0.029,0.966
G6677,462.82,-0.037,0.9
G6678,14.82,-0.323,0.611
G6679,335.16,-0.025,0.935
G6680,85.11,0.28,0.477
G6681,23.94,0.122,0.824
G6682,133.84,-0.391,0.275
G6683,2.61,0.145,0.905
G6684,431.93,0.118,0.691
G6685,23.17,-1.007,0.0683
G6686,40.77,-0.038,0.936
G6687,19.46,0.751,0.197
G6688,122.34,0.215,0.555
G6689,130.84,0.275,0.445
G6690,56.25,-0.147,0.734
G6691,313.59,1.765,1.29e-08
G6692,35.06,-0.893,0.0685
G6693,1.94,1.671,0.222
G6694,38.53,0.42,0.379
G6695,9.47,-0.062,0.933
G6696,41.15,-1.004,0.0325
G6697,21.68,0.311,0.581
G6698,6.09,0.771,0.375
G6699,16.34,-0.621,0.313
G6700,387.23,-0.068,0.821
G6701,48.82,0.021,0.963
G6702,252.79,-0.552,0.0851
G6703,47.19,0.064,0.888
G6704,12.27,-0.738,0.276
G6705,5.7,0.009,0.992
G6706,91.64,-0.122,0.753
G6707,68.36,-0.32,0.439
G6708,35.63,0.3,0.539
G6709,7.25,1.186,0.145
G6710,337.55,-0.339,0.27
G6711,12.31,1.166,0.0846
G6712,133.47,0.18,0.616
G6713,12.02,-0.043,0.95
G6714,85.08,0.252,0.522
G6715,2.12,-3.398,0.00998
G6716,46.56,0.227,0.617
G6717,8.91,0.064,0.933
G6718,37.21,0.419,0.385
G6719,111.19,0.017,0.964
G6720,43.79,0.434,0.347
G6721,56.92,0.358,0.407
G6722,40.41,0.148,0.754
G6723,51.69,0.516,0.244
G6724,20.35,0.575,0.317
G6725,21.7,-0.443,0.432
G6726,13.82,0.019,0.977
G6727,73.8,-1.934,1.93e-06
G6728,359.83,-0.069,0.821
G6729,35.73,1.105,0.0235
G6730,69.64,-0.174,0.673
G6731,321.41,-0.206,0.505
G6732,90.4,0.782,0.044
G6733,153.66,0.144,0.68
G6734,38.61,0.443,0.354
G6735,10.99,0.967,0.169
G6736,72.03,0.123,0.763
G6737,22.45,-0.15,0.788
G6738,49.71,0.107,0.811
G6739,54.07,0.359,0.412
G6740,140.59,0.271,0.445
G6741,26.56,-0.283,0.594
G6742,8.64,-0.027,0.972
G6743,111.29,-0.873,0.0188
G6744,252.62,0.194,0.545
G6745,61.49,-0.107,0.801
G6746,133.18,-0.157,0.662
G6747,1.04,-1.171,0.513
G6748,308.43,0.055,0.86
G6749,396.46,0.463,0.123
G6750,75.8,-0.017,0.966
G6751,570,-0.154,0.592
G6752,102.46,0.409,0.279
G6753,32.47,0.086,0.864
G6754,18.29,1.641,0.00574
G6755,17.99,-0.229,0.701
G6756,45.85,-0.233,0.61
G6757,183.25,0.132,0.696
G6758,55.2,0.372,0.393
G6759,40.69,0.375,0.426
G6760,25.51,-0.541,0.314
G6761,51.06,-0.648,0.144
G6762,55.93,-0.079,0.856
G6763,26.58,-1.099,0.0382
G6764,88.6,0.25,0.521
G6765,23.42,-0.187,0.734
G6766,21.86,0.778,0.166
G6767,36.66,-0.241,0.619
G6768,332.5,0.068,0.825
G6769,732.26,0.196,0.483
G6770,2.66,-3.48,0.00376
G6771,30.12,0.942,0.0655
G6772,37.83,0.424,0.377
G6773,188.44,0.217,0.519
G6774,341.04,-0.165,0.591
G6775,5.51,0.091,0.92
G6776,7.06,1.249,0.129
G6777,9.03,0.831,0.269
G6778,186.66,0.175,0.604
G6779,131.34,0.028,0.938
G6780,4.28,0.625,0.529
G6781,14.96,-0.501,0.429
G6782,23.16,0.743,0.179
G6783,5.25,-0.023,0.98
G6784,31.89,0.144,0.775
G6785,217.34,-0.723,0.0278
G6786,17.84,0.006,0.992
G6787,128.34,0.109,0.763
G6788,64.25,-0.331,0.43
G6789,37.38,0.074,0.878
G6790,69.47,0.651,0.114
G6791,122.76,0.169,0.643
G6792,242.87,0.097,0.764
G6793,577.89,0.223,0.436
G6794,63.33,0.603,0.152
G6795,213.18,-0.514,0.119
G6796,272.77,0.055,0.862
G6797,46.27,0.096,0.833
G6798,38.63,0.353,0.46
G6799,72.92,-0.174,0.669
G6800,16.33,-0.418,0.497
G6801,820.87,0.101,0.714
G6802,76.33,0.219,0.587
G6803,40.25,-0.398,0.399
G6804,354.86,0.208,0.495
G6805,12.4,-0.574,0.395
G6806,29.38,-0.654,0.204
G6807,308.97,-0.123,0.692
G6808,10.91,0.473,0.502
G6809,52.42,-1.359,0.00206
G6810,74.09,-1.126,0.00553
G6811,34.14,-0.587,0.235
G6812,59.26,0.576,0.178
G6813,17.26,-0.599,0.322
G6814,292.15,0.341,0.277
G6815,173.51,-0.067,0.844
G6816,46.57,-1.053,0.0205
G6817,109.71,-0.39,0.295
G6818,35.72,0.163,0.738
G6819,170.57,0.424,0.216
G6820,89.08,0.118,0.762
G6821,29.64,0.747,0.146
G6822,688.96,0.298,0.289
G6823,3.73,2.015,0.0546
G6824,31.23,-0.916,0.0704
G6825,0.21,-2.342,0.346
G6826,42.1,0.016,0.973
G6827,1.43,2.928,0.0602
G6828,145.5,-0.542,0.124
G6829,101.17,0.176,0.642
G6830,7.28,-0.012,0.988
G6831,8.86,0.847,0.264
G6832,47.63,0.175,0.699
G6833,225.02,0.162,0.62
G6834,1262.73,-0.019,0.943
G6835,94.44,-0.254,0.509
G6836,163.49,-0.181,0.6
G6837,1.22,-2.45,0.142
G6838,23.18,1.01,0.0675
G6839,1485.7,-0.309,0.237
G6840,37.08,0.367,0.447
G6841,69.71,0.017,0.967
G6842,37.65,-0.301,0.531
G6843,14.32,-0.67,0.297
G6844,31.37,-1.014,0.0449
G6845,167.79,-0.428,0.213
G6846,341.22,0.187,0.542
G6847,278.67,0.572,0.0701
G6848,90.6,0.348,0.37
G6849,165.93,0.072,0.834
G6850,104.57,1.299,0.00056
G6851,15.4,-0.726,0.247
G6852,76.38,-0.412,0.307
G6853,11.44,-0.174,0.802
G6854,100.82,0.577,0.128
G6855,20.48,0.259,0.652
G6856,89.92,-0.105,0.787
G6857,162.07,0.364,0.292
G6858,25.46,0.2,0.71
G6859,18.81,-0.619,0.293
G6860,28.88,-0.107,0.836
